base_word,pos_kr,pos_tag,level,homonym
어서,부사,Adverb,1,False
어제,부사,Adverb,1,False
어제,명사,Noun,1,False
억,관형사,Determiner,1,False
억,수사,Noun,1,False
언니,명사,Noun,1,False
언제,부사,Adverb,1,False
언제,대명사,Noun,1,False
얼굴,명사,Noun,1,False
얼마,명사,Noun,1,False
얼마나,부사,Adverb,1,False
없다,형용사,Adjective,1,False
에어컨,명사,Noun,1,False
여권,명사,Noun,1,False
여기,대명사,Noun,1,False
여덟,관형사,Determiner,1,False
여덟,수사,Noun,1,False
여동생,명사,Noun,1,False
여든,관형사,Determiner,1,False
여든,수사,Noun,1,False
여러,관형사,Determiner,1,False
여러분,대명사,Noun,1,False
여름,명사,Noun,1,False
여보세요,감탄사,Exclamation,1,False
여섯,관형사,Determiner,1,False
여섯,수사,Noun,1,False
여자,명사,Noun,1,False
여행,명사,Noun,1,False
여행사,명사,Noun,1,False
역,명사,Noun,1,False
연극,명사,Noun,1,False
연습,명사,Noun,1,False
연필,명사,Noun,1,False
열,관형사,Determiner,1,False
열,수사,Noun,1,False
열다,동사,Verb,1,False
열쇠,명사,Noun,1,False
열심히,부사,Adverb,1,False
영,명사,Noun,1,False
영국,명사,Noun,1,False
영어,명사,Noun,1,False
영화,명사,Noun,1,False
영화관,명사,Noun,1,False
영화배우,명사,Noun,1,False
옆,명사,Noun,1,False
예,감탄사,Exclamation,1,False
예쁘다,형용사,Adjective,1,False
오,관형사,Determiner,1,False
오,수사,Noun,1,False
오늘,부사,Adverb,1,False
오늘,명사,Noun,1,False
오다,동사,Verb,1,False
오렌지,명사,Noun,1,False
오른쪽,명사,Noun,1,False
오빠,명사,Noun,1,False
오십,관형사,Determiner,1,False
오십,수사,Noun,1,False
오월,명사,Noun,1,False
오전,명사,Noun,1,False
오후,명사,Noun,1,False
올라가다,동사,Verb,1,False
올해,명사,Noun,1,False
옷,명사,Noun,1,False
와,감탄사,Exclamation,1,False
왜,부사,Adverb,1,False
외국,명사,Noun,1,False
외국어,명사,Noun,1,False
외국인,명사,Noun,1,False
왼쪽,명사,Noun,1,False
요리,명사,Noun,1,False
요일,명사,Noun,1,False
요즘,명사,Noun,1,False
우리,대명사,Noun,1,False
우산,명사,Noun,1,False
우유,명사,Noun,1,False
우체국,명사,Noun,1,False
우표,명사,Noun,1,False
운동,명사,Noun,1,False
운동장,명사,Noun,1,False
운동화,명사,Noun,1,False
운전,명사,Noun,1,False
울다,동사,Verb,1,False
웃다,동사,Verb,1,False
원,의존명사,Noun,1,False
월,의존명사,Noun,1,True
월,명사,Noun,1,True
월요일,명사,Noun,1,False
위,명사,Noun,1,False
유명,명사,Noun,1,False
유월,명사,Noun,1,False
육,관형사,Determiner,1,False
육,수사,Noun,1,False
육십,관형사,Determiner,1,False
육십,수사,Noun,1,False
은행,명사,Noun,1,False
음,감탄사,Exclamation,1,False
음료수,명사,Noun,1,False
음식,명사,Noun,1,False
음악,명사,Noun,1,False
의사,명사,Noun,1,False
의자,명사,Noun,1,False
이,관형사,Determiner,1,True
이,관형사,Determiner,1,True
이,대명사,Noun,1,True
이,수사,Noun,1,True
이것,대명사,Noun,1,False
이따가,부사,Adverb,1,False
이름,명사,Noun,1,False
이번,명사,Noun,1,False
이십,관형사,Determiner,1,False
이십,수사,Noun,1,False
이야기,명사,Noun,1,False
이월,명사,Noun,1,False
이유,명사,Noun,1,False
이쪽,대명사,Noun,1,False
인도네시아,명사,Noun,1,False
인분,의존명사,Noun,1,False
인사,명사,Noun,1,False
인천,명사,Noun,1,False
인터넷,명사,Noun,1,False
일,관형사,Determiner,1,False
일,명사,Noun,1,True
일,수사,Noun,1,True
일,의존명사,Noun,1,True
일,명사,Noun,1,True
일곱,관형사,Determiner,1,False
일곱,수사,Noun,1,False
일본,명사,Noun,1,False
일어나다,동사,Verb,1,False
일요일,명사,Noun,1,False
일월,명사,Noun,1,False
일주일,명사,Noun,1,False
일찍,부사,Adverb,1,False
일흔,관형사,Determiner,1,False
일흔,수사,Noun,1,False
읽다,동사,Verb,1,False
입,명사,Noun,1,False
입다,동사,Verb,1,False
있다,형용사,Adjective,1,False
있다,동사,Verb,1,False
자다,동사,Verb,1,False
자동차,명사,Noun,1,False
자전거,명사,Noun,1,False
자주,부사,Adverb,1,False
작년,명사,Noun,1,False
작다,형용사,Adjective,1,False
잔,명사,Noun,1,False
잘,부사,Adverb,1,False
잘못,부사,Adverb,1,False
잘못,명사,Noun,1,False
잘하다,동사,Verb,1,False
잠,명사,Noun,1,False
잠깐,부사,Adverb,1,False
잠깐,명사,Noun,1,False
잠시,부사,Adverb,1,False
잠시,명사,Noun,1,False
잡수시다,동사,Verb,1,False
잡채,명사,Noun,1,False
장소,명사,Noun,1,False
재미없다,형용사,Adjective,1,False
재미있다,형용사,Adjective,1,False
저,관형사,Determiner,1,False
저,감탄사,Exclamation,1,False
저,대명사,Noun,1,True
저,대명사,Noun,1,True
저것,대명사,Noun,1,False
저기,대명사,Noun,1,False
저녁,명사,Noun,1,False
저쪽,대명사,Noun,1,False
적다,형용사,Adjective,1,False
전,관형사,Determiner,1,False
전,명사,Noun,1,False
전공,명사,Noun,1,False
전화,명사,Noun,1,False
전화번호,명사,Noun,1,False
점심,명사,Noun,1,False
정류장,명사,Noun,1,False
정말,부사,Adverb,1,False
정말,명사,Noun,1,False
제,대명사,Noun,1,False
제일,부사,Adverb,1,False
제일,명사,Noun,1,False
제주도,명사,Noun,1,False
조금,부사,Adverb,1,False
조금,명사,Noun,1,False
조용하다,형용사,Adjective,1,False
졸업,명사,Noun,1,False
좀,부사,Adverb,1,False
종업원,명사,Noun,1,False
좋다,형용사,Adjective,1,False
좋아하다,동사,Verb,1,False
죄송하다,형용사,Adjective,1,False
주,의존명사,Noun,1,True
주,명사,Noun,1,True
주다,동사,Verb,1,False
주로,부사,Adverb,1,False
주말,명사,Noun,1,False
주무시다,동사,Verb,1,False
주부,명사,Noun,1,False
주소,명사,Noun,1,False
주스,명사,Noun,1,False
주인,명사,Noun,1,False
주일,의존명사,Noun,1,True
주일,명사,Noun,1,True
준비,명사,Noun,1,False
중,의존명사,Noun,1,False
중국,명사,Noun,1,False
지갑,명사,Noun,1,False
지금,부사,Adverb,1,False
지금,명사,Noun,1,False
지나다,동사,Verb,1,False
지난달,명사,Noun,1,False
지난주,명사,Noun,1,False
지난해,명사,Noun,1,False
지내다,동사,Verb,1,False
지우개,명사,Noun,1,False
지하철,명사,Noun,1,False
